building,본관,"5남관,5서관",인하드림센터,"6.9호관,평생교육원",60주년기념관,"서호관,나빌레관",하이테크관,"로스쿨관,학군단","학생회관,C호관","12남관,2동관,4호관",5북관,2북관,"인하드림센터 2,3관","5동관,풍동실험실",정석학술정보관,"2,4호관",5호관
20-Mar,79,126,26,153,259,61,135,56,104,223,100,204,12,189,143,427,415
20-Apr,70,92,18,108,223,49,121,39,79,197,88,173,7,144,93,370,324
20-May,60,87,20,103,246,43,133,43,71,193,83,187,7,120,93,380,290
20-Jun,67,140,24,130,308,52,170,62,98,237,101,222,7,151,146,459,392
20-Jul,76,146,27,140,348,63,188,61,102,271,120,245,7,177,132,516,443
20-Aug,74,136,27,138,322,45,137,48,75,255,117,229,7,181,117,484,434
20-Sep,75,123,25,129,321,47,181,57,82,202,111,233,7,165,135,435,399
20-Oct,57,88,16,91,239,47,117,38,58,143,82,156,4,122,111,299,292
20-Nov,74,126,24,143,262,62,130,66,84,177,90,191,10,161,123,368,377
20-Dec,107,204,39,270,372,95,189,115,155,259,122,313,19,247,132,572,573
21-Jan,96,169,37,241,473,87,170,91,141,210,111,233,20,216,172,443,496
21-Feb,84,136,32,200,379,77,154,83,117,186,99,213,13,189,116,399,424
21-Mar,78,117,24,151,275,71,138,65,83,165,90,194,10,164,107,359,371
21-Apr,70,102,21,98,268,52,130,47,69,162,91,193,8,139,132,355,332
21-May,58,94,18,80,248,44,126,41,61,148,81,180,5,120,115,328,295
21-Jun,71,132,25,111,301,47,180,58,79,201,106,249,8,159,143,450,397
21-Jul,78,191,30,157,398,54,204,67,95,258,146,278,11,211,170,536,548
21-Aug,75,153,27,127,307,46,177,58,79,216,118,220,11,170,143,436,441
21-Sep,74,150,23,127,303,51,200,67,76,226,116,234,11,170,141,460,436
21-Oct,59,100,16,91,286,47,137,48,64,166,83,186,6,122,145,352,305
21-Nov,76,136,20,134,275,62,143,68,92,189,84,188,11,157,138,377,377
21-Dec,95,167,34,219,374,87,168,92,145,246,104,226,22,209,145,472,480
22-Jan,95,167,34,219,374,87,168,92,145,246,104,226,22,209,145,472,480
22-Feb,92,155,35,206,306,84,166,81,136,258,106,217,18,206,124,475,467
22-Mar,78,136,21,150,295,70,142,63,107,170,104,189,12,173,143,359,413
22-Apr,70,93,18,108,229,66,145,54,85,183,87,188,6,150,125,371,330
22-May,70,101,21,115,297,67,175,39,88,200,96,200,6,155,156,400,352
22-Jun,69,138,24,127,306,70,185,55,89,217,122,215,6,169,151,432,429
22-Jul,86,182,32,148,354,81,212,69,110,273,149,282,6,203,182,555,534
22-Aug,91,184,31,153,357,81,183,70,123,281,152,282,8,208,173,563,544
22-Sep,81,169,24,160,359,73,246,66,115,253,123,247,6,191,188,500,483
22-Oct,68,113,18,111,250,61,149,44,87,194,103,189,5,138,142,383,354
22-Nov,81,136,19,148,282,73,154,68,110,213,119,205,6,175,153,418,430
22-Dec,117,246,40,285,411,118,217,104,200,335,153,295,16,274,175,630,673
23-Jan,105,224,37,244,376,104,186,87,168,284,153,257,14,237,186,541,614
23-Feb,93,181,28,202,336,83,165,74,145,230,123,214,12,203,152,444,507
