date,usage
Mar-01,"32,235"
Apr-01,"46,921"
May-01,"43,912"
Jun-01,"47,046"
Jul-01,"49,135"
Aug-01,"34,947"
Sep-01,"37,148"
Oct-01,"40,295"
Nov-01,"45,216"
Dec-01,"43,208"
Jan-02,"40,285"
Feb-02,"36,507"
Mar-02,"33,874"
Apr-02,"42,196"
May-02,"43,669"
Jun-02,"44,728"
Jul-02,"37,694"
Aug-02,"36,287"
Sep-02,"35,106"
Oct-02,"36,537"
Nov-02,"41,006"
Dec-02,"38,824"
Jan-03,"38,692"
Feb-03,"39,264"
Mar-03,"29,403"
Apr-03,"46,850"
May-03,"45,638"
Jun-03,"48,625"
Jul-03,"43,881"
Aug-03,"36,937"
Sep-03,"31,690"
Oct-03,"42,661"
Nov-03,"45,628"
Dec-03,"43,621"
Jan-04,"37,865"
Feb-04,"38,844"
Mar-04,"29,649"
Apr-04,"46,747"
May-04,"38,523"
Jun-04,"48,980"
Jul-04,"28,582"
Aug-04,"21,949"
Sep-04,"29,545"
Oct-04,"43,657"
Nov-04,"45,936"
Dec-04,"44,507"
Jan-05,"13,273"
Feb-05,"12,774"
Mar-05,"14,562"
Apr-05,"34,069"
May-05,"34,785"
Jun-05,"40,172"
Jul-05,"33,053"
Aug-05,"29,505"
Sep-05,"25,531"
Oct-05,"33,415"
Nov-05,"33,417"
Dec-05,"31,170"
Jan-06,"25,559"
Feb-06,"22,622"
Mar-06,"21,636"
Apr-06,"31,664"
May-06,"34,537"
Jun-06,"33,622"
Jul-06,"28,760"
Aug-06,"25,666"
Sep-06,"29,915"
Oct-06,"34,144"
Nov-06,"31,476"
Dec-06,"30,246"
Jan-07,"26,038"
Feb-07,"23,933"
Mar-07,"20,341"
Apr-07,"29,093"
May-07,"35,628"
Jun-07,"37,912"
Jul-07,"39,574"
Aug-07,"31,999"
Sep-07,"33,130"
Oct-07,"34,543"
Nov-07,"34,709"
Dec-07,"33,688"
Jan-08,"27,784"
Feb-08,"22,670"
Mar-08,"23,674"
Apr-08,"32,920"
May-08,"36,607"
Jun-08,"35,686"
Jul-08,"34,786"
Aug-08,"28,511"
Sep-08,"27,679"
Oct-08,"37,824"
Nov-08,"37,051"
Dec-08,"30,187"
Jan-09,"30,212"
Feb-09,"24,327"
Mar-09,"25,916"
Apr-09,"40,114"
May-09,"41,457"
Jun-09,"36,527"
Jul-09,"38,283"
Aug-09,"30,967"
Sep-09,"44,855"
Oct-09,"43,729"
Nov-09,"42,851"
Dec-09,"32,838"
Jan-10,"23,021"
Feb-10,"25,360"
Mar-10,"29,601"
Apr-10,"38,472"
May-10,"38,351"
Jun-10,"36,562"
Jul-10,"28,960"
Aug-10,"31,631"
Sep-10,"34,762"
Oct-10,"30,735"
Nov-10,"30,405"
Dec-10,"28,282"
Jan-11,"22,343"
Feb-11,"20,689"
Mar-11,"25,995"
Apr-11,"32,606"
May-11,"29,834"
Jun-11,"31,814"
Jul-11,"21,080"
Aug-11,"22,229"
Sep-11,"29,521"
Oct-11,"30,218"
Nov-11,"30,688"
Dec-11,"27,719"
Jan-12,"22,970"
Feb-12,"23,979"
